#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Freerange,Notes,Link,,,,,,,
901,3/10,"toxoplasma, transmission, felid",Pubmed,Isolation of encysted Toxoplasma gondii from muscles of mule deer in Montana,1982,USA,North America,,Y,N,Y,1,1,100.00,,,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/7161172,,,,,,,
932,3/10,"toxoplasma, transmission, felid",Pubmed,Experimental infection of a bison with Toxoplasma gondii oocysts,1983,USA,North America,,Y,N,Y,7,1,14.29,I (#10),GT-1,1,Y,Cat bioassay,N,,https://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-19.2.148,,,,,,,
221,2/22,"toxoplasma, oocyst, shedding",Pubmed,Persistence of encysted Toxoplasma gondii in tissues of equids fed oocysts,1985,USA,North America,,Y,N,N,13,9,69.23,,,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/4037503,,,,,,,
68,2/16,toxoplasma AND cat AND shedding,Pubmed,Persistence of tissue cysts in edible tissues of cattle fed Toxoplasma gondii oocysts,1993,USA,North America,,Y,N,N,4,3,75.00,I,GT-1,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/8430937,,,,,,"unknown, brII, 32",
980,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,"Isolation of tissue cysts of Toxoplasma, Isospora, Hammondia and Sarcocystis from camel (Camelus dromedarius) meat in Saudi Arabia",1995,Saudi Arabia,Asia,,Y,N,N,4,4,100.00,,,,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/8533274,,,,,,,
1013,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of viable Toxoplasma gondii tissue cysts and antibodies to T. gondii by various serologic tests in black bears (Ursus americanus) from Pennsylvania,1995,USA,North America,,Y,N,Y,11,8,72.73,,,,Y,Cat bioassay,N,,https://www.jstor.org/stable/3284018?seq=2#metadata_info_tab_contents,,,,,,,
363,2/28,"toxoplasma, felid, genotype",Pubmed,Biological and molecular characterizations of Toxoplasma gondii strains obtained from southern sea otters (Enhydra lutris nereis),2000,USA,North America,,Y,N,Y,4,2,50.00,II,"0226, 0729",,Y,Cat bioassay,N,,https://www.ncbi.nlm.nih.gov/pubmed/10864250,,,,,,,
106,2/21,toxoplasma AND cat AND shedding,WoS,High prevalence of viable Toxoplasma gondii infection in market weight pigs from a farm in Massachusetts,2002,USA,North America,,Y,N,Y,55,51,92.73,,,,Y,Cat bioassay,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-88/issue-6/0022-3395(2002)088[1234:HPOVTG]2.0.CO;2/HIGH-PREVALENCE-OF-VIABLE-TOXOPLASMA-GONDII-INFECTION-IN-MARKET-WEIGHT/10.1645/0022-3395(2002)088[1234:HPOVTG]2.0.CO;2.full?casa_token=Qk_G2q3r6N8AAAAA%3arKMtxE91S9C-j_ezelRgilOCs57krYAE_GV96CuPZMnM3bvHdHO6jL26MVU6QKD04ynJNeEHjQ,,,,,,,
972,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,"Biological and genetic characterisation of Toxoplasma gondii isolates from chickens (Gallus domesticus) from São Paulo, Brazil: unexpected findings",2002,Brazil,South America,,Y,N,Y,27,13,48.15,"I, III",,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S0020751901003642?via%3Dihub,,,,,,,
128,2/21,toxoplasma AND cat AND shedding,WoS,Isolation and molecular characterization of Toxoplasma gondii from chickens and ducks from Egypt,2003,Egypt,Africa,,Y,N,N,5,1,20.00,"II, III",,,Y,Cat bioassay,N,,https://www.sciencedirect.com/science/article/pii/S030440170300133X,,,,,,,
