#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Lat,Lon,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Notes,Link
1006,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Detection of Toxoplasma cysts and oocysts in an urban environment in a developed country,1985,Australia,Australia,-34.9201652,138.6066669,,Y,N,Y,115,0,0.00,,,,Y,Domestic-FR,,https://www.tandfonline.com/doi/abs/10.3109/00313028509105508
510,3/8,"toxoplasma, felid, species",Pubmed,Helminth and protozoan parasites in dogs and cats in Belgium,1991,Belgium,Europe,51.3118973,4.8656114,,Y,N,N,30,0,0.00,,,,Y,Domestic-FR,,https://www.sciencedirect.com/science/article/pii/030440179190010S
20,2/16,toxoplasma AND cat AND shedding,Pubmed,"Toxoplasma gondii infection in cats from São Paulo state, Brazil: seroprevalence, oocyst shedding, isolation in mice, and biologic and molecular characterization",2006,Brazil,South America,-22.015654,-48.362831,,Y,N,Y,237,3,1.27,"I, III",TgCatBr85-87,12,Y,Domestic-FR,,https://www.sciencedirect.com/science/article/pii/S0034528805001694?via%3Dihub
1023,3/23,,Reference search,"Infectious disease prevalence in a feral cat population on Prince Edward Island, Canada",2011,Canada,North America,46.265867,-63.139777,,Y,N,N,78,1,1.28,,,6,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3157072/
380,2/28,"toxoplasma, felid, genotype",Pubmed,Genetic and biologic characterization of Toxoplasma gondii isolates of cats from China,2007,China,Asia,23.13881,113.263216,,Y,N,Y,26,0,0.00,"#11, #13, #9, #18",TgCtPRC 1–17 cat bioassay,,Y,Domestic-FR,"no shedding, yes bioassay",https://www.sciencedirect.com/science/article/pii/S0304401706007047?via%3Dihub
354,2/28,"toxoplasma, felid, genotype",Pubmed,Isolation and genetic characterization of viable Toxoplasma gondii from tissues and feces of cats from the central region of China,2015,China,Asia,34.448383,113.46743,,Y,N,Y,360,1,0.28,ToxoDB #1,TgCatCHn4,,Y,Domestic-FR,,https://linkinghub.elsevier.com/retrieve/pii/S0304-4017(15)00242-3
964,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence and Risk Factors of Intestinal Parasites in Cats from China,2015,China,Asia,33.899643,113.76742,,Y,N,N,360,11,3.06,,,12,Y,Domestic-FR,,https://www.hindawi.com/journals/bmri/2015/967238/
280,2/24,"toxoplasma, felid, genotype",Pubmed,"Isolation and characterization of Toxoplasma gondii strains from stray cats revealed a single genotype in Beijing, China",2016,China,Asia,39.905896,116.379574,,Y,N,N,35,0,0.00,,,10,Y,Domestic-FR,,https://www.sciencedirect.com/science/article/pii/S0304401712000453
1060,3/31,,Reference search,Infeccion por Toxoplasma gondii en gatos de dos barrios del sur de Armenia y su importancia en la toxoplasmosis humana,1998,Colombia,South America,4.536624,-75.67686,Spanish,Y,N,N,18,12,66.66666667,,,,Y,Domestic-FR,,
355,2/28,"toxoplasma, felid, genotype",Pubmed,"Prevalence of Toxoplasma gondii in cats from Colombia, South America and genetic characterization of T. gondii isolates",2006,Colombia,South America,4.701299,-74.126575,,Y,N,Y,170,0,,,,7,Y,Domestic-FR,,https://www.sciencedirect.com/science/article/pii/S0304401706002822
930,3/10,"toxoplasma, transmission, felid",Pubmed,Isolation of Toxoplasma gondii strains from faeces of stray cats in Czechoslovakia (author's transl),1977,Czech Republic,Europe,48.500664,19.796014,,Y,N,Y,91,4,4.40,,,12,Y,Domestic-FR,,
990,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Examination of cats for the elimination of Toxoplasma gondii oocysts,1979,Czech Republic,Europe,49.074628,18.055368,,Y,N,Y,150,1,0.67,,,,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/105452
966,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Incidence of Toxoplasma gondii oocysts in cat feces,1986,Czech Republic,Europe,49.201985,16.4375346,Czech,Y,N,N,620,8,1.29,,,30,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/3095977
49,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma infection of stray cats in Egypt,1976,Egypt,Africa,30.048266,31.247606,,Y,N,Y,33,8,24.24,,,,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/1263297
583,3/8,"toxoplasma, felid, species",Pubmed,"A survey study on gastrointestinal parasites of stray cats in northern region of Nile delta, Egypt",2011,Egypt,Africa,31.274374,30.908322,,Y,N,N,113,10,8.849557522,,,5,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/21760884
44,2/16,toxoplasma AND cat AND shedding,Pubmed,Genetic diversity of Toxoplasma gondii isolates from Ethiopian feral cats,2013,Ethiopia,Africa,9.054026,38.70741,,Y,Y,N,48,7,14.58,"II, III, ToxoDB #3 (type II variant) , ToxoDB #9","ToxoDB #1, ToxoDB #2, Toxo DB #3, and ToxoDB #20",3-4,Y,Domestic-FR,mixed strain infection,https://www.ncbi.nlm.nih.gov/pubmed/23411374
953,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,"Isolation of viable Toxoplasma gondii from tissues and feces of cats from Addis Ababa, Ethiopia",2013,Ethiopia,Africa,8.9631504,38.6377151,,Y,N,Y,36,7,19.44,"#7, #4, #16, #80, #31, #54, ","TgCatEt2b, 3a, 3b, 6a, 6b, 7a, 7b, 8a, 8b, 10a, 12a, 12b, ",1,Y,Domestic-FR,,https://doi.org/10.1645/GE-3229.1
529,3/8,"toxoplasma, felid, species",Pubmed,Transmission of Toxoplasma gondii in an urban population of domestic cats (Felis catus),2006,France,Europe,45.7665719,4.807023,,Y,N,N,322,0,0.00,,,120,Y,Domestic-FR,,https://www.sciencedirect.com/science/article/pii/S0020751906002876
633,3/9,"toxoplasma, transmission, felid",WoS,"Detection of Echinococcus multilocularis and other foodborne parasites in fox, cat and dog faeces collected in kitchen gardens in a highly endemic area for alveolar echinococcosis",2017,France,Europe,49.370507,4.684527,,N,Y,N,125,2,1.6,,,19,Y,Domestic-FR,,https://www.parasite-journal.org/articles/parasite/pdf/2017/01/parasite170062.pdf
470,2/29,"toxoplasma, felid, species",Pubmed,High density of fox and cat faeces in kitchen gardens and resulting rodent exposure to Echinococcus multilocularis and Toxoplasma gondii,2018,France,Europe,49.723351,4.53347,,Y,N,N,141,6,4.26,,,24,Y,Domestic-FR,,https://folia.paru.cas.cz/pdfs/fol/2018/01/02.pdf
1003,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of endoparasites in stray and fostered dogs and cats in Northern Germany,2012,Germany,Europe,52.495538,9.693439,,Y,N,N,837,6,0.72,,,24,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pubmed/22526289
1055,3/31,,Reference search,Toxoplasma and other intestinal coccidia in cats in Maharashtra (Parbhani),1992,India,Asia,19.2596008,76.7467112,,Y,N,Y,9,1,11.11111111,,,,Y,Domestic-FR,,
1072,4/6,,Reference search,Toxoplasma gondii infection in stray cats,2007,Iran,Asia,33.9814065,51.3425424,,Y,N,N,50,0,0,,,,Y,Domestic-FR,,http://ijpa.tums.ac.ir/index.php/ijpa/article/view/13
982,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,"Prevalence of Toxoplasma gondii antibodies in stray cats in Sari, northern Iran",2009,Iran,Asia,36.5559137,53.0373436,,Y,N,N,100,0,0.00,,,,Y,Domestic-FR,,https://link.springer.com/article/10.1007/s11250-008-9173-y
83,2/17,toxoplasma AND cat AND shedding,WoS,"Prevalence of Toxoplasma gondii antibody and oocyst shedding in stray cats of Khorramabad City, West of Iran 2014",2015,Iran,Asia,33.4910974,48.2888581,Arabic,Y,N,N,125,0,0,,,,Y,Domestic-FR,oocysts found to be Isopora,http://yafte.lums.ac.ir/article-1-2302-en.html
131,2/21,toxoplasma AND cat AND shedding,WoS,Prevalence and genetic diversity of Toxoplasma gondii oocysts in cats of southwest of Iran,2017,Iran,Asia,31.3750688,48.5301642,,Y,Y,N,486,35,7.20,"III, I+III, I",,5,Y,Domestic-FR,,https://www.clinicalkey.com/nursing/#!/content/playContent/1-s2.0-S2468045117300652?returnurl=null&referrer=null
19,2/16,toxoplasma AND cat AND shedding,Pubmed,"A serological and parasitological study of Toxoplasma gondii infection in stray cats of Mashhad, Khorasan Razavi province, Iran",2019,Iran,Asia,36.2975398,59.4390306,,Y,N,N,159,4,2.52,,,4,Y,Domestic-FR,"toxoplasma like oocysts, are these h?",https://www.ncbi.nlm.nih.gov/pubmed/31338144
994,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,The development of a molecular approach for coprodiagnosis of Toxoplasma gondii,2007,Israel,Asia,31.770909,35.214152,,Y,Y,N,122,11,9.02,,,,Y,Domestic-FR,"positive by PCR, none microscopy",https://www.ncbi.nlm.nih.gov/pubmed/17395378
991,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Toxoplasma gondii oocysts in the faeces of naturally infected cat,1973,Italy,Europe,44.4331453,11.0427035,,Y,N,Y,250,1,0.40,,,,Y,Domestic-FR,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1589199/?page=1
